
****************************** FastFind 2.2 (c)FastFrench 2013 ********
		Started  Wed Jun 14 13:09:33 2017

             4.377mS|ChangeMode(231) => m_bDebugGraphique=1, m_DebugModeTxt=  E3
             13.800S|FFGetPixel(x:1921, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1920,1080) => returns -1
           112.490µS|FFGetPixel(x:1922, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1920,1080) => returns -1
            98.121µS|FFGetPixel(x:1923, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1920,1080) => returns -1
            97.300µS|FFGetPixel(x:1924, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1920,1080) => returns -1
            99.763µS|FFGetPixel(x:1925, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1920,1080) => returns -1
            96.889µS|FFGetPixel(x:1926, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1920,1080) => returns -1
            96.479µS|FFGetPixel(x:1927, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1920,1080) => returns -1
            96.479µS|FFGetPixel(x:1928, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1920,1080) => returns -1
            96.479µS|FFGetPixel(x:1929, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1920,1080) => returns -1
            98.942µS|FFGetPixel(x:1930, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1920,1080) => returns -1
            97.710µS|FFGetPixel(x:1931, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1920,1080) => returns -1
            96.889µS|FFGetPixel(x:1932, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1920,1080) => returns -1
            96.889µS|FFGetPixel(x:1933, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1920,1080) => returns -1
            96.068µS|FFGetPixel(x:1934, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1920,1080) => returns -1
            98.942µS|FFGetPixel(x:1935, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1920,1080) => returns -1
            96.479µS|FFGetPixel(x:1936, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1920,1080) => returns -1
            96.068µS|FFGetPixel(x:1937, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1920,1080) => returns -1
            96.479µS|FFGetPixel(x:1938, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1920,1080) => returns -1
            96.889µS|FFGetPixel(x:1939, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1920,1080) => returns -1
            99.352µS|FFGetPixel(x:1940, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1920,1080) => returns -1
            96.479µS|FFGetPixel(x:1941, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1920,1080) => returns -1
            96.479µS|FFGetPixel(x:1942, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1920,1080) => returns -1
            96.479µS|FFGetPixel(x:1943, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1920,1080) => returns -1
            96.479µS|FFGetPixel(x:1944, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1920,1080) => returns -1
            98.942µS|FFGetPixel(x:1945, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1920,1080) => returns -1
            96.889µS|FFGetPixel(x:1946, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1920,1080) => returns -1
            97.710µS|FFGetPixel(x:1947, y:500, Snap:0): this point is outside the SnapShot boundaries (0,0,1920,1080) => returns -1
